Event,Year,Type,Begin Date,End Date,Summary,CPI-Adjusted Estimated Cost (in Billions),Deaths,Event Short,Type Simple,Unique Event
Western Wildfires Summer-Fall 2012,2012,Wildfires,2012-06-01,2012-11-30,"Wildfires burned over 9.2 million acres across the U.S. in 2012. This is the 3rd highest annual total since the year 2000. The most damaging wildfires occurred in the western states (CO, ID, WY, MT, CA, NV, OR, WA). Colorado experienced the most costly wildfires (e.g., Waldo Canyon fire) where several hundred residences were destroyed.",$1.9,8,Wildfires 2012,Other,Wildfires 2012
Hurricane Sandy October 2012,2012,Hurricane,2012-10-30,2012-10-31,"Extensive damage across several northeastern states (MD, DE, NJ, NY, CT, MA, RI) due to high wind and coastal storm surge, particularly NY and NJ. Damage from wind, rain and heavy snow also extended more broadly to other states (NC, VA, WV, OH, PA, NH), as Sandy merged with a developing Nor'easter. Sandy's impact on major population centers caused widespread interruption to critical water / electrical services and also caused 159 deaths (72 direct, 87 indirect). Sandy also caused the New York Stock Exchange to close for two consecutive business days, which last happened in 1888 due to a major winter storm.",$70.2,159,Sandy 2012,Hurricane,Sandy 2012
Hurricane Isaac August 2012,2012,Hurricane,2012-08-26,2012-08-31,"Category 1 hurricane made landfall over Louisiana. Isaac's slow motion and large size led to a large storm surge and flooding rains. This created damage across several southeastern states (LA, MS, AL, FL) including 9 deaths (5 direct, 4 indirect).",$3.0,9,Isaac 2012,Hurricane,Isaac 2012
Plains/ East/ Northeast Severe Weather June 29-July 2 2012,2012,Severe Weather,2012-06-29,2012-07-02,"Sustained outbreak of thunderstorms / high winds from a strong derecho event over the central, eastern, and northeastern states (IL, IN, KY, OH, WV, SC, NC, VA, MD, DC, NJ).",$3.1,28,Severe Weather 2012,Other,Severe Weather 2012 2
Rockies/ Southwest Severe Weather June 6-12 2012,2012,Severe Weather,2012-06-06,2012-06-12,"Severe storms and damaging hail over several states (CO, NM, TX) with 25 confirmed tornadoes. Colorado experienced over 1.0 (1.1) billion in damage due to hail.",$2.8,0,Severe Weather 2012,Other,Severe Weather 2012 3
Southern Plains/ Midwest/ Northeast Severe Weather May 25-30 2012,2012,Severe Weather,2012-05-25,2012-05-30,"Severe storms over the southern plains, midwest and northeast (TX, OK, KS, MN, PA, NY) with 27 confirmed tornadoes. Significant damage also from severe hail and straight-line winds.",$2.5,1,Severe Weather 2012,Other,Severe Weather 2012 4
Midwest/ Ohio Valley Severe Weather April 28-May 1 2012,2012,Severe Weather,2012-04-28,2012-05-01,"Severe weather over the midwest and Ohio Valley (TX, OK, KS, MO, IL, IN, KY) with 38 confirmed tornadoes. Considerable damage resulting from hail.",$3.5,1,Severe Weather 2012,Other,Severe Weather 2012
Midwest Tornadoes April 13-14 2012,2012,Tornadoes,2012-04-13,2012-04-14,"Outbreak of tornadoes and severe weather over the midwest (OK, KS, NE, IA) with 98 confirmed tornadoes including many tornadoes that remained on the ground for an extended time - traveling tens of miles.",$1.2,6,Tornadoes 2012,Other,Tornadoes 2012 2
Texas Tornadoes April 2-3 2012,2012,Tornadoes,2012-04-02,2012-04-03,Outbreak of tornadoes across the greater Dallas-Ft. Worth metropolitan area. Several moderate strength tornadoes (EF-2 and EF-3) affected towns in this area with a total of 22 confirmed tornadoes.,$1.1,0,Tornadoes 2012,Other,Tornadoes 2012 3
Southeast/ Ohio Valley Tornadoes March 2-3 2012,2012,Tornadoes,2012-03-02,2012-03-03,"Outbreak of tornadoes and severe weather over the southeast and Ohio Valley (AL, GA, IN, OH, KY, TN) with 75 confirmed tornadoes.",$3.4,42,Tornadoes 2012,Other,Tornadoes 2012
"Texas, New Mexico, Arizona Wildfires Summer-Fall 2011",2011,Wildfires,2011-06-01,2011-11-30,"Continued drought conditions and periods of extreme heat provided conditions favorable for a series of historic wildfires across Texas, New Mexico and Arizona. The Bastrop Fire in Texas was the most destructive fire in Texas history destroying over 1,500 homes. The Wallow Fire consumed over 500,000 acres in Arizona making it the largest on record in Arizona. The Las Conchas Fire in New Mexico was also the state's largest wildfire on record scorching over 150,000 acres while threatening the Los Alamos National Laboratory. Over 3 million acres have burned across Texas this wildfire season.",$2.0,5,Wildfires 2011,Other,Wildfires 2011
Tropical Storm Lee September 2011,2011,Tropical Storm,2011-09-01,2011-09-05,"Wind and flood damage across the southeast (LA, MS, AL, GA, TN) but considerably more damage from record flooding across the northeast (PA, NY, NJ, CT, VA, MD). Pennsylvania and New York were most affected.",$2.8,21,Tropical Storm 2011,Other,Tropical Storm 2011
Southern Plains/ Southwest Drought & Heat Wave Spring-Summer 2011,2011,Drought,2011-03-01,2011-08-31,"Drought and heat wave conditions created major impacts across Texas, Oklahoma, New Mexico, Arizona, southern Kansas, and western Louisiana. In Texas and Oklahoma, a majority of range and pastures were classified in ""very poor"" condition for much of the 2011 crop growing season.",$13.3,95,Drought 2011,Other,Drought 2011
Hurricane Irene August 2011,2011,Hurricane,2011-08-26,2011-08-28,"Category 1 hurricane made landfall over coastal NC and moved northward along the Mid-Atlantic Coast (NC, VA, MD, NJ, NY, CT, RI, MA, VT) causing torrential rainfall and flooding across the Northeast. Wind damage in coastal NC, VA, and MD was moderate with considerable damage resulting from falling trees and power lines, while flooding caused extensive flood damage across NJ, NY, and VT. Over seven million homes and businesses lost power during the storm. Numerous tornadoes were also reported in several states further adding to the damage.",$15.0,45,Irene 2011,Hurricane,Irene 2011
Midwest/ Southeast Severe Weather August 2011,2011,Severe Weather,2011-08-17,2011-08-18,"Severe weather impacts the states IA, KS, MO, NE, SD across the Midwest and Southeast.",$1.3,0,Severe Weather 2011,Other,Severe Weather 2011 3
"Rockies and Midwest Severe Weather July 10-14, 2011",2011,Severe Weather,2011-07-10,2011-07-14,"An outbreak of tornadoes, hail, and high wind caused damage east of the Rockies and across the central plains (CO, WY, IA, IL, MI, MN, OH).",$1.4,2,Severe Weather 2011,Other,Severe Weather 2011 2
Missouri River flooding May-June 2011,2011,Flooding,2011-05-01,2011-06-30,"Melting of an above-average snow pack across the Northern Rocky Mountains combined with above-average precipitation caused the Missouri and Souris Rivers to swell beyond their banks across the Upper Midwest (MT, ND, SD, NE, IA, KS, MO). An estimated 11,000 people were forced to evacuate Minot, North Dakota due to the record high water level of the Souris River, where 4,000 homes were flooded. Numerous levees were breached along the Missouri River, flooding thousands of acres of farmland.",$2.2,5,Flooding 2011,Other,Flooding 2011 2
"Midwest/ Southeast Tornadoes and Severe Weather June 18-22, 2011",2011,Severe Weather,2011-06-18,2011-06-22,"Outbreak of tornadoes over central states (OK, TX, KS, NE, MO, IA, IL) with an estimated 81 tornadoes. Additional wind and hail damage across the Southeast (TN, GA, NC, SC).",$1.7,3,Severe Weather 2011,Other,Severe Weather 2011
Mississippi River flooding April-May 2011,2011,Flooding,2011-04-01,2011-05-31,"Persistent rainfall (nearly 300 percent normal precipitation amounts in the Ohio Valley) combined with melting snowpack caused historical flooding along the Mississippi River and its tributaries. Examples of economic damage include: 500 (555.0) million to agriculture in Arkansas; 320 (355.2) million in damage to Memphis, Tennessee; 800 (888.0) million to agriculture in Mississippi; 317 (351.9) million to agriculture and property in Missouri's Birds Point-New Madrid Spillway; 80 (88.8) million for the first 30 days of flood fighting efforts in Louisiana.",$3.3,7,Flooding 2011,Other,Flooding 2011
