id,session,tempdta,temp,crt,mathreported,mathcorrect,mathmistakes,wordstotalreported,wordstotalcorrect,wordsmistakes,repeats,word2,word3,word4,word5,word6,word7,word8,word9,word score,male,gender,age,majorecon,nativegerman,enjoymath,enjoywords,strongme,temp category,cool,normal,warm,hot,month
139,7,24.629999161,24.63,3,10,10,0,12,12,0,0,2,4,5,1,0,0,0,0,95,1,M,17,0,0,6,8,9,normal,0,1,0,0,9
140,7,24.629999161,24.63,3,4,4,0,5,5,0,0,1,3,1,0,0,0,0,0,31,1,M,25,0,1,6,8,8,normal,0,1,0,0,9
141,7,24.629999161,24.63,3,18,17,1,26,26,0,0,2,6,10,6,2,0,0,0,274,1,M,24,0,1,3,3,4,normal,0,1,0,0,9
142,7,24.629999161,24.63,2,14,11,3,35,34,1,0,3,10,16,3,2,0,0,0,316,0,F,19,1,1,3,4,6,normal,0,1,0,0,9
143,7,24.629999161,24.63,3,15,14,1,5,3,2,0,0,0,1,2,0,0,0,0,40,1,M,29,0,0,6,1,7,normal,0,1,0,0,9
144,7,24.629999161,24.63,3,15,14,1,20,20,0,0,0,7,10,2,1,0,0,0,193,0,F,24,1,0,3,4,6,normal,0,1,0,0,9
145,7,24.629999161,24.63,3,16,12,4,10,10,0,0,0,4,3,1,2,0,0,0,111,1,M,19,0,0,8,5,9,normal,0,1,0,0,9
146,7,24.629999161,24.63,3,19,17,2,17,17,0,0,0,5,8,1,2,1,0,0,195,1,M,23,1,1,8,6,10,normal,0,1,0,0,9
147,7,24.629999161,24.63,1,9,7,2,13,13,0,0,0,6,3,3,1,0,0,0,132,0,F,27,0,1,3,7,8,normal,0,1,0,0,9
148,7,24.629999161,24.63,3,10,7,3,21,21,0,0,1,6,9,4,1,0,0,0,210,1,M,21,0,1,5,7,7,normal,0,1,0,0,9
149,7,24.629999161,24.63,3,23,21,2,24,24,0,0,1,6,12,5,0,0,0,0,234,1,M,24,0,0,1,1,5,normal,0,1,0,0,9
150,7,24.629999161,24.63,1,11,11,0,4,4,0,0,0,3,0,0,1,0,0,0,39,1,M,30,0,0,10,8,7,normal,0,1,0,0,9
151,7,24.629999161,24.63,0,17,14,3,20,20,0,0,0,6,9,4,1,0,0,0,207,1,M,24,1,0,7,7,9,normal,0,1,0,0,9
152,7,24.629999161,24.63,3,13,13,0,18,18,0,0,1,6,6,5,0,0,0,0,174,0,F,23,0,1,10,10,4,normal,0,1,0,0,9
153,7,24.629999161,24.63,3,20,14,6,15,15,0,0,0,4,1,6,4,0,0,0,208,0,F,22,1,1,5,5,8,normal,0,1,0,0,9
154,7,24.629999161,24.63,3,9,8,1,12,11,1,0,0,4,6,0,1,0,0,0,105,1,M,19,0,1,9,7,4,normal,0,1,0,0,9
155,7,24.629999161,24.63,3,18,16,2,21,21,0,0,0,4,10,5,2,0,0,0,241,1,M,27,0,1,9,8,9,normal,0,1,0,0,9
156,8,26.329999924,26.33,2,12,8,4,31,31,0,0,2,10,13,3,3,0,0,0,304,0,F,23,1,1,8,8,8,warm,0,0,1,0,9
157,8,26.329999924,26.33,3,19,17,2,29,28,1,0,2,5,12,6,3,0,0,0,309,1,M,20,1,1,7,6,7,warm,0,0,1,0,9
158,8,26.329999924,26.33,2,18,15,3,27,27,0,0,0,7,9,6,4,0,1,0,342,0,F,23,0,1,8,5,8,warm,0,0,1,0,9
159,8,26.329999924,26.33,2,20,18,2,27,25,2,0,0,3,16,4,2,0,0,0,280,1,M,28,0,1,5,8,4,warm,0,0,1,0,9
160,8,26.329999924,26.33,2,10,6,4,22,19,2,1,0,4,7,5,3,0,0,0,232,0,F,20,0,1,1,6,5,warm,0,0,1,0,9
161,8,26.329999924,26.33,2,13,13,0,13,12,1,0,0,1,5,5,0,1,0,0,159,1,M,28,1,0,7,7,5,warm,0,0,1,0,9
162,8,26.329999924,26.33,3,5,3,2,23,20,3,0,0,8,5,4,3,0,0,0,221,1,M,24,0,1,1,5,8,warm,0,0,1,0,9
163,8,26.329999924,26.33,2,15,12,3,34,34,0,0,3,10,14,6,0,1,0,0,327,0,F,19,0,1,8,10,3,warm,0,0,1,0,9
164,8,26.329999924,26.33,2,24,17,7,32,32,0,0,1,9,17,3,2,0,0,0,314,0,F,22,0,1,4,7,9,warm,0,0,1,0,9
165,8,26.329999924,26.33,0,12,9,3,14,13,0,1,0,2,9,1,1,0,0,0,138,0,F,27,0,1,5,6,6,warm,0,0,1,0,9
166,8,26.329999924,26.33,3,10,9,1,17,17,0,0,0,4,7,3,3,0,0,0,202,1,M,26,1,1,10,7,7,warm,0,0,1,0,9
167,8,26.329999924,26.33,3,11,9,2,22,22,0,0,2,6,7,7,0,0,0,0,217,0,F,23,,1,5,10,5,warm,0,0,1,0,9
168,8,26.329999924,26.33,2,26,26,0,7,7,0,0,0,1,4,1,1,0,0,0,82,1,M,23,0,0,7,3,8,warm,0,0,1,0,9
169,8,26.329999924,26.33,3,23,21,2,29,29,0,0,0,2,19,7,1,0,0,0,328,1,M,20,0,1,10,10,8,warm,0,0,1,0,9
170,8,26.329999924,26.33,3,12,11,1,24,24,0,0,2,8,10,4,0,0,0,0,214,1,M,20,0,1,3,8,3,warm,0,0,1,0,9
171,8,26.329999924,26.33,3,9,6,3,16,16,0,0,1,3,5,5,2,0,0,0,188,1,M,25,0,1,2,3,9,warm,0,0,1,0,9
