date,time,done,Day of Week
2019-11-11,10:01,1,Mon
2019-11-12,0:00,0,Tue
2019-11-13,21:34,0,Wed
2019-11-14,0:00,0,Thu
2019-11-15,0:00,0,Fri
2019-11-16,29:40,0,Sat
2019-11-17,47:39,1,Sun
2019-11-18,7:42,1,Mon
2019-11-19,13:18,1,Tue
2019-11-20,15:39,1,Wed
2019-11-21,31:56,1,Thu
2019-11-22,21:57,1,Fri
2019-11-23,38:19,0,Sat
2019-11-24,67:47,0,Sun
2019-11-25,11:11,1,Mon
2019-11-26,10:14,1,Tue
2019-11-27,14:58,1,Wed
2019-11-28,19:43,1,Thu
2019-11-29,26:21,1,Fri
2019-11-30,29:11,1,Sat
2019-12-01,39:31,1,Sun
2019-12-02,9:39,1,Mon
2019-12-03,10:41,1,Tue
2019-12-04,13:22,1,Wed
2019-12-05,23:08,1,Thu
2019-12-06,31:14,0,Fri
2019-12-07,39:56,0,Sat
2019-12-08,42:54,0,Sun
2019-12-09,8:54,1,Mon
2019-12-10,10:07,1,Tue
2019-12-11,21:16,1,Wed
2019-12-12,24:42,1,Thu
2019-12-13,22:09,1,Fri
2019-12-14,55:17,0,Sat
2019-12-15,41:59,1,Sun
2019-12-16,10:21,1,Mon
2019-12-17,14:18,1,Tue
2019-12-18,13:03,1,Wed
2019-12-19,24:24,1,Thu
2019-12-20,29:01,1,Fri
2019-12-21,36:17,1,Sat
2019-12-22,49:21,1,Sun
2019-12-23,9:16,1,Mon
2019-12-24,15:12,1,Tue
2019-12-25,11:38,1,Wed
2019-12-26,21:14,1,Thu
2019-12-27,19:41,1,Fri
2019-12-28,26:48,1,Sat
2019-12-29,36:56,1,Sun
2019-12-30,11:34,1,Mon
2019-12-31,9:49,1,Tue
2020-01-01,14:30,1,Wed
2020-01-02,24:26,1,Thu
2020-01-03,28:38,1,Fri
2020-01-04,34:34,0,Sat
2020-01-05,44:04,1,Sun
2020-01-06,18:20,1,Mon
2020-01-07,11:11,1,Tue
2020-01-08,16:16,1,Wed
2020-01-09,31:11,1,Thu
2020-01-10,41:03,1,Fri
2020-01-11,26:15,0,Sat
2020-01-12,40:26,1,Sun
2020-01-13,10:52,1,Mon
2020-01-14,10:58,1,Tue
2020-01-15,22:02,1,Wed
2020-01-16,29:16,1,Thu
2020-01-17,16:44,0,Fri
2020-01-18,31:22,1,Sat
2020-01-19,77:16,1,Sun
2020-01-20,9:30,1,Mon
2020-01-21,15:34,1,Tue
2020-01-22,22:02,1,Wed
2020-01-23,23:14,1,Thu
2020-01-24,31:19,1,Fri
2020-01-25,28:28,0,Sat
2020-01-26,39:05,1,Sun
2020-01-27,10:23,1,Mon
2020-01-28,10:02,1,Tue
2020-01-29,20:53,1,Wed
2020-01-30,28:48,1,Thu
2020-01-31,28:09,0,Fri
2020-02-01,35:41,1,Sat
2020-02-02,38:54,1,Sun
2020-02-03,11:37,1,Mon
2020-02-04,9:03,1,Tue
2020-02-05,14:40,1,Wed
2020-02-06,17:44,1,Thu
2020-02-07,40:54,1,Fri
2020-02-08,26:19,1,Sat
2020-02-09,50:57,1,Sun
2020-02-10,9:31,1,Mon
2020-02-11,11:48,1,Tue
2020-02-12,13:58,1,Wed
2020-02-13,22:51,1,Thu
2020-02-14,17:22,1,Fri
2020-02-15,30:13,1,Sat
2020-02-16,59:39,1,Sun
2020-02-17,9:30,1,Mon
2020-02-18,10:49,1,Tue
2020-02-19,24:07,0,Wed
2020-02-20,27:08,0,Thu
2020-02-21,23:53,1,Fri
2020-02-22,30:58,0,Sat
2020-02-23,29:15,1,Sun
2020-02-24,9:16,1,Mon
2020-02-25,12:47,1,Tue
2020-02-26,16:31,1,Wed
2020-02-27,14:35,1,Thu
2020-02-28,21:18,1,Fri
2020-02-29,36:45,1,Sat
2020-03-01,47:35,1,Sun
2020-03-02,8:26,1,Mon
2020-03-03,11:22,1,Tue
2020-03-04,21:56,1,Wed
2020-03-05,19:40,1,Thu
2020-03-06,24:07,1,Fri
2020-03-07,25:05,1,Sat
2020-03-08,38:21,1,Sun
2020-03-09,9:29,1,Mon
2020-03-10,12:38,1,Tue
2020-03-11,14:42,1,Wed
2020-03-12,21:44,1,Thu
2020-03-13,40:26,1,Fri
2020-03-14,32:48,1,Sat
2020-03-15,57:30,1,Sun
2020-03-16,8:52,1,Mon
2020-03-17,13:11,1,Tue
2020-03-18,13:35,1,Wed
2020-03-19,18:16,1,Thu
2020-03-20,43:48,1,Fri
2020-03-21,31:03,1,Sat
2020-03-22,48:31,1,Sun
2020-03-23,13:11,1,Mon
2020-03-24,12:27,1,Tue
2020-03-25,15:32,1,Wed
2020-03-26,26:21,1,Thu
2020-03-27,30:20,1,Fri
2020-03-28,30:00,1,Sat
2020-03-29,46:55,1,Sun
2020-03-30,8:36,1,Mon
2020-03-31,11:52,1,Tue
2020-04-01,12:22,1,Wed
2020-04-02,34:24,1,Thu
2020-04-03,20:45,1,Fri
2020-04-04,29:53,0,Sat
2020-04-05,61:04,1,Sun
2020-04-06,8:26,1,Mon
2020-04-07,12:12,1,Tue
2020-04-08,19:42,1,Wed
2020-04-09,27:29,1,Thu
2020-04-10,43:14,1,Fri
2020-04-11,23:02,0,Sat
2020-04-12,52:13,1,Sun
2020-04-13,6:34,1,Mon
2020-04-14,11:35,1,Tue
2020-04-15,20:51,1,Wed
2020-04-16,36:27,1,Thu
2020-04-17,9:48,0,Fri
2020-04-18,17:47,0,Sat
2020-04-19,51:07,1,Sun
2020-04-20,11:03,1,Mon
2020-04-21,18:21,1,Tue
2020-04-22,17:00,1,Wed
2020-04-23,24:05,1,Thu
2020-04-24,26:23,1,Fri
2020-04-25,38:11,0,Sat
2020-04-26,59:55,1,Sun
2020-04-27,7:10,1,Mon
2020-04-28,15:59,1,Tue
2020-04-29,19:33,1,Wed
2020-04-30,19:42,1,Thu
2020-05-01,47:16,1,Fri
2020-05-02,34:16,1,Sat
2020-05-03,43:09,1,Sun
2020-05-04,14:50,1,Mon
2020-05-05,10:48,1,Tue
2020-05-06,16:03,1,Wed
2020-05-07,31:27,1,Thu
2020-05-08,32:33,0,Fri
2020-05-09,27:05,1,Sat
2020-05-10,54:14,1,Sun
2020-05-11,7:27,1,Mon
2020-05-12,9:47,1,Tue
2020-05-13,23:03,1,Wed
2020-05-14,15:41,1,Thu
2020-05-15,23:22,1,Fri
2020-05-16,35:25,1,Sat
2020-05-17,46:04,1,Sun
2020-05-18,6:50,1,Mon
